,date,close,high,last day profit,low,ma10,ma20,ma5,next month profit,open,p_change,price_change,stock,trading,trading days,turnover,v_ma10,v_ma20,v_ma5,volume,trading value,trading value rank
61,2017-04-30,20.0,20.13,-0.037072701011073635,19.93,20.341,20.496,20.086,0.02750000000000004,20.07,-0.6,-0.12,600007.csv,1,5.0,,10616.8,12912.81,9305.77,10130.08,202601.6,14.0
631,2017-04-30,19.46,19.46,0.05246078961600879,19.46,21.172,21.344,19.336,-0.341726618705036,19.46,-4.98,-1.02,600149.csv,1,4.0,,417553.17,427667.86,414402.94,3185.0,61980.100000000006,1.0
1049,2017-04-30,9.04,9.04,-0.01525054466230943,8.81,9.509,10.227,9.08,-0.14159292035398224,8.9,1.8,0.16,600232.csv,1,5.0,,33055.08,39867.2,30093.98,25096.54,226872.7216,18.0
1708,2017-04-30,4.89,4.92,0.0020491803278688088,4.83,4.992,5.038,4.94,-0.0715746421267893,4.9,-1.21,-0.06,600403.csv,1,5.0,,37427.78,34756.63,38720.37,35015.0,171223.34999999998,10.0
1738,2017-04-30,3.45,3.45,-0.09210526315789463,3.37,3.572,3.845,3.404,0.031884057971014464,3.4,1.17,0.04,600408.csv,1,5.0,,93646.64,102430.75,67486.28,59941.22,206797.209,16.0
1768,2017-04-30,50.6,51.24,0.01078705553335995,50.3,51.457,53.118,51.11,-0.21442687747035571,50.67,0.02,0.01,600419.csv,1,5.0,,4782.92,6033.37,4357.02,2739.45,138616.16999999998,7.0
1888,2017-04-30,7.11,7.14,0.00708215297450435,7.04,7.1370000000000005,7.407,7.064,-0.07032348804500703,7.08,0.28,0.02,600439.csv,1,5.0,,57455.29,60537.41,50079.89,24066.72,171114.37920000002,9.0
1918,2017-04-30,46.17,46.53,0.029431438127090308,44.8,45.601000000000006,46.533,45.382,-0.08295429932856829,45.56,1.79,0.81,600455.csv,1,5.0,,4274.03,5807.38,3014.56,3803.71,175617.2907,11.0
3034,2017-04-30,9.66,9.68,0.0020746887966804537,9.55,9.72,9.839,9.666,-0.29917184265010355,9.59,0.21,0.02,600712.csv,1,5.0,,27540.82,34826.75,17378.68,11765.4,113653.764,3.0
3364,2017-04-30,17.09,17.18,-0.018943742824339943,16.56,16.99,17.645,16.682000000000002,-0.2276184903452312,16.7,2.46,0.41,600817.csv,1,5.0,,8483.83,14507.93,6239.75,4365.11,74599.72989999999,2.0
